Time, Build-in, Thermistor, Humiture, Temperature DS18b20
1609459201, 25.63997, 23653, 55101, 53261
1609459501, 27.51255, 23701, 55261, 53196
1609459802, 27.51255, 23701, 54829, 53228
1609460102, 27.51255, 23525, 55117, 53453
1609460402, 27.51255, 23797, 55053, 53309
1609460703, 27.98069, 23749, 55069, 53357
1609461003, 28.44883, 23429, 55117, 53277
1609461304, 28.91698, 23477, 55229, 53565
1609461604, 28.91698, 23333, 54797, 53613
1609461904, 28.91698, 23221, 55085, 53244
1609462205, 28.91698, 23269, 54765, 53212
1609462505, 28.91698, 23237, 55053, 53533
1609462806, 29.38512, 23349, 55165, 53597
1609463106, 28.91698, 23285, 55101, 53180
1609463407, 28.91698, 23301, 55101, 53228
1609463707, 28.44883, 23685, 55005, 53261
1609464008, 28.44883, 23493, 55021, 53164
1609464308, 28.44883, 23525, 54701, 53581
1609464608, 28.44883, 23397, 54957, 53100
1609464909, 28.91698, 23605, 55101, 53261
1609465209, 28.44883, 23477, 55149, 53517
1609465510, 29.38512, 23349, 54685, 53565
1609465810, 28.91698, 23429, 55005, 53485
1609466111, 28.91698, 23381, 55053, 53613
1609466411, 28.91698, 23445, 55053, 53196
1609466712, 28.91698, 23221, 55261, 53549
1609467012, 28.91698, 23237, 55229, 53196
1609467312, 28.91698, 23365, 54941, 53148
1609467613, 28.91698, 23221, 54653, 53148
1609467913, 29.38512, 23333, 55133, 53228
1609468214, 29.38512, 23221, 54605, 53421
1609468514, 28.91698, 23301, 54813, 53565
1609468815, 29.38512, 23285, 54717, 53517
1609469115, 28.91698, 23221, 55069, 53581
1609469416, 28.91698, 23221, 55085, 53148
1609469716, 28.91698, 23445, 55005, 53180
1609470016, 29.38512, 23397, 54973, 53148
1609470317, 29.85327, 23317, 54701, 53453
1609470617, 28.91698, 23573, 55005, 53469
1609470918, 28.44883, 23509, 54685, 53212
1609471218, 28.91698, 23573, 54685, 53453
1609471519, 28.44883, 23509, 55069, 53228
1609471819, 28.91698, 23557, 55005, 53148
1609472120, 28.91698, 23509, 54877, 53084
1609472420, 28.91698, 23317, 54829, 53261
1609472720, 28.91698, 23429, 55053, 53325
1609473021, 29.38512, 23269, 54701, 53549
1609473321, 28.91698, 23205, 54765, 53581
1609473622, 28.91698, 23141, 54973, 53581
1609473922, 28.91698, 23285, 55133, 53132
1609474223, 29.38512, 23173, 54749, 53164
1609474523, 29.85327, 23237, 54877, 53469
1609474824, 29.85327, 23045, 54925, 53389
1609475124, 29.38512, 23189, 55117, 53132
1609475425, 29.38512, 23013, 55101, 53341
1609475725, 29.85327, 23045, 54941, 53549
1609476025, 29.85327, 23061, 55053, 53228
1609476326, 29.85327, 23285, 55117, 53517
1609476626, 29.85327, 23205, 54765, 53212
1609476927, 29.85327, 23109, 54845, 53405
1609477227, 29.85327, 23237, 55021, 53277
1609477528, 28.91698, 23237, 54733, 53597
1609477828, 28.91698, 23381, 54733, 53277
1609478129, 28.91698, 23605, 54941, 53565
1609478429, 28.91698, 23477, 54941, 53453
1609478730, 28.91698, 23397, 55069, 53437
1609479030, 28.91698, 23525, 54877, 53100
1609479330, 28.44883, 23317, 55229, 53517
1609479631, 28.91698, 23253, 54989, 53485
1609479931, 28.91698, 23317, 54717, 53228
1609480232, 28.91698, 23285, 54749, 53100
1609480532, 29.85327, 23189, 55165, 53180
1609480833, 29.38512, 23205, 54685, 53261
1609481133, 29.85327, 23269, 54909, 53132
1609481434, 29.85327, 23205, 54893, 53148
